"unit","geo","time","values"
"PER_KM2","DE12A",2017,196.6
"PER_KM2","DE12B",2017,344.6
"PER_KM2","DE12C",2017,134.7
"PER_KM2","DE13",2017,242.6
"PER_KM2","DE131",2017,1494.2
"PER_KM2","DE132",2017,191.4
"PER_KM2","DE133",2017,242.2
"PER_KM2","DE134",2017,230.4
"PER_KM2","DE135",2017,180.2
"PER_KM2","DE136",2017,205.7
"PER_KM2","DE137",2017,189
"PER_KM2","DE138",2017,367.7
"PER_KM2","DE139",2017,284.2
"PER_KM2","DE13A",2017,150.8
"PER_KM2","DE14",2017,212
"PER_KM2","DE141",2017,260.9
"PER_KM2","DE142",2017,434.7
"PER_KM2","DE143",2017,204.6
"PER_KM2","DE144",2017,1048.5
"PER_KM2","DE145",2017,143
"PER_KM2","DE146",2017,140.3
"PER_KM2","DE147",2017,479.5
"PER_KM2","DE148",2017,173.5
"PER_KM2","DE149",2017,108.5
"PER_KM2","DE2",2017,185.5
"PER_KM2","DE21",2017,270.1
"PER_KM2","DE211",2017,1034.2
"PER_KM2","DE212",2017,4710.2
"PER_KM2","DE213",2017,1699.4
"PER_KM2","DE214",2017,195.2
"PER_KM2","DE215",2017,125.9
"PER_KM2","DE216",2017,116.2
"PER_KM2","DE217",2017,262.6
"PER_KM2","DE218",2017,255.8
"PER_KM2","DE219",2017,108.4
"PER_KM2","DE21A",2017,156.5
"PER_KM2","DE21B",2017,222
"PER_KM2","DE21C",2017,499.6
"PER_KM2","DE21D",2017,88
"PER_KM2","DE21E",2017,158.8
"PER_KM2","DE21F",2017,115.9
"PER_KM2","DE21G",2017,142.1
"PER_KM2","DE21H",2017,524.2
"PER_KM2","DE21I",2017,131.1
"PER_KM2","DE21J",2017,166.7
"PER_KM2","DE21K",2017,182.5
"PER_KM2","DE21L",2017,318
"PER_KM2","DE21M",2017,121.5
"PER_KM2","DE21N",2017,140.2
"PER_KM2","DE22",2017,119.4
"PER_KM2","DE221",2017,1069.8
"PER_KM2","DE222",2017,791.2
"PER_KM2","DE223",2017,728.7
"PER_KM2","DE224",2017,139
"PER_KM2","DE225",2017,79.5
"PER_KM2","DE226",2017,113.8
"PER_KM2","DE227",2017,116.4
"PER_KM2","DE228",2017,125.1
"PER_KM2","DE229",2017,79.5
"PER_KM2","DE22A",2017,94.1
"PER_KM2","DE22B",2017,83.8
"PER_KM2","DE22C",2017,109.4
"PER_KM2","DE23",2017,114.2
"PER_KM2","DE231",2017,846
"PER_KM2","DE232",2017,1895.8
"PER_KM2","DE233",2017,598.9
"PER_KM2","DE234",2017,82
"PER_KM2","DE235",2017,83.8
"PER_KM2","DE236",2017,98.3
"PER_KM2","DE237",2017,66.5
"PER_KM2","DE238",2017,138.7
"PER_KM2","DE239",2017,100.9
"PER_KM2","DE23A",2017,67.4
"PER_KM2","DE24",2017,147.5
"PER_KM2","DE241",2017,1390.2
"PER_KM2","DE242",2017,1097.5
"PER_KM2","DE243",2017,857.4
"PER_KM2","DE244",2017,799.4
"PER_KM2","DE245",2017,126
"PER_KM2","DE246",2017,81.5
"PER_KM2","DE247",2017,147.1
"PER_KM2","DE248",2017,179.9
"PER_KM2","DE249",2017,107.6
"PER_KM2","DE24A",2017,103.8
"PER_KM2","DE24B",2017,109.4
"PER_KM2","DE24C",2017,129
"PER_KM2","DE24D",2017,121.1
"PER_KM2","DE25",2017,243.3
"PER_KM2","DE251",2017,415.9
"PER_KM2","DE252",2017,1455.5
"PER_KM2","DE253",2017,1999.4
"PER_KM2","DE254",2017,2775.2
"PER_KM2","DE255",2017,993.8
"PER_KM2","DE256",2017,92.7
"PER_KM2","DE257",2017,241.9
"PER_KM2","DE258",2017,378.1
"PER_KM2","DE259",2017,211.9
"PER_KM2","DE25A",2017,78.5
"PER_KM2","DE25B",2017,141.2
"PER_KM2","DE25C",2017,98.4
"PER_KM2","DE26",2017,154.4
"PER_KM2","DE261",2017,1140.3
"PER_KM2","DE262",2017,1516.6
"PER_KM2","DE263",2017,1452
"PER_KM2","DE264",2017,250
"PER_KM2","DE265",2017,90.7
"PER_KM2","DE266",2017,78.1
"PER_KM2","DE267",2017,88.8
"PER_KM2","DE268",2017,132.3
"PER_KM2","DE269",2017,181.5
"PER_KM2","DE26A",2017,96.3
"PER_KM2","DE26B",2017,137.2
"PER_KM2","DE26C",2017,166.7
"PER_KM2","DE27",2017,188.7
"PER_KM2","DE271",2017,1981.1
"PER_KM2","DE272",2017,1082.7
"PER_KM2","DE273",2017,1078.2
"PER_KM2","DE274",2017,619.7
"PER_KM2","DE275",2017,169.7
"PER_KM2","DE276",2017,232.4
"PER_KM2","DE277",2017,121.6
"PER_KM2","DE278",2017,163.8
"PER_KM2","DE279",2017,335.5
"PER_KM2","DE27A",2017,285.4
"PER_KM2","DE27B",2017,101.2
"PER_KM2","DE27C",2017,115.6
"PER_KM2","DE27D",2017,104.6
"PER_KM2","DE27E",2017,101.5
"PER_KM2","DE3",2017,4248.4
"PER_KM2","DE30",2017,4248.4
"PER_KM2","DE300",2017,4248.4
"PER_KM2","DE4",2017,86.1
"PER_KM2","DE40",2017,86.1
"PER_KM2","DE401",2017,366.2
"PER_KM2","DE402",2017,610.5
"PER_KM2","DE403",2017,404.3
"PER_KM2","DE404",2017,1016.1
"PER_KM2","DE405",2017,125.6
"PER_KM2","DE406",2017,75.5
"PER_KM2","DE407",2017,55.2
"PER_KM2","DE408",2017,93.9
"PER_KM2","DE409",2017,90.4
"PER_KM2","DE40A",2017,118.1
"PER_KM2","DE40B",2017,95.7
"PER_KM2","DE40C",2017,81
"PER_KM2","DE40D",2017,40.2
"PER_KM2","DE40E",2017,83.5
"PER_KM2","DE40F",2017,36.5
"PER_KM2","DE40G",2017,71.3
"PER_KM2","DE40H",2017,79.4
"PER_KM2","DE40I",2017,40.4
"PER_KM2","DE5",2017,1738.9
"PER_KM2","DE50",2017,1738.9
"PER_KM2","DE501",2017,1828.6
"PER_KM2","DE502",2017,1395.4
"PER_KM2","DE6",2017,2564.1
"PER_KM2","DE60",2017,2564.1
"PER_KM2","DE600",2017,2564.1
"PER_KM2","DE7",2017,296
"PER_KM2","DE71",2017,536.1
"PER_KM2","DE711",2017,1293.8
